"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 10, 2018","3,230.07","3,271.38","3,277.88","3,227.85","63.82K","-1.45%"
"Sep 07, 2018","3,277.64","3,273.89","3,316.61","3,253.72","63.95K","0.45%"
"Sep 06, 2018","3,262.88","3,286.66","3,311.50","3,253.76","62.30K","-1.07%"
"Sep 05, 2018","3,298.14","3,349.70","3,354.20","3,298.14","64.30K","-1.95%"
"Sep 04, 2018","3,363.90","3,324.19","3,370.96","3,307.96","67.09K","1.27%"
"Sep 03, 2018","3,321.82","3,320.69","3,325.61","3,291.78","66.43K","-0.38%"
"Aug 31, 2018","3,334.50","3,333.38","3,356.58","3,310.87","76.21K","-0.50%"
"Aug 30, 2018","3,351.09","3,385.81","3,402.56","3,349.47","68.39K","-1.05%"
"Aug 29, 2018","3,386.57","3,393.05","3,398.71","3,377.12","67.02K","-0.40%"
"Aug 28, 2018","3,400.17","3,408.15","3,416.59","3,388.81","75.45K","-0.19%"
"Aug 27, 2018","3,406.57","3,339.39","3,406.57","3,339.26","94.27K","2.44%"
"Aug 24, 2018","3,325.33","3,308.48","3,353.04","3,291.87","63.77K","0.16%"
"Aug 23, 2018","3,320.03","3,308.46","3,336.11","3,285.81","61.11K","0.37%"
"Aug 22, 2018","3,307.95","3,328.97","3,328.97","3,299.39","50.79K","-0.56%"
"Aug 21, 2018","3,326.65","3,271.84","3,331.71","3,270.03","75.21K","1.82%"
"Aug 20, 2018","3,267.25","3,238.22","3,267.25","3,209.01","70.90K","1.17%"
"Aug 17, 2018","3,229.62","3,305.90","3,311.57","3,224.10","67.40K","-1.44%"
"Aug 16, 2018","3,276.73","3,251.86","3,315.20","3,231.56","76.55K","-0.46%"
"Aug 15, 2018","3,291.98","3,371.96","3,372.14","3,288.71","68.17K","-2.40%"
"Aug 14, 2018","3,372.91","3,386.48","3,391.73","3,356.61","60.65K","-0.51%"
"Aug 13, 2018","3,390.34","3,369.98","3,396.19","3,336.70","76.19K","-0.43%"
"Aug 10, 2018","3,405.02","3,398.41","3,424.04","3,380.57","68.97K","0.22%"
"Aug 09, 2018","3,397.53","3,303.48","3,408.39","3,299.62","91.96K","2.50%"
"Aug 08, 2018","3,314.51","3,362.15","3,368.16","3,311.77","79.29K","-1.61%"
"Aug 07, 2018","3,368.87","3,284.98","3,368.96","3,263.50","91.78K","2.92%"
"Aug 06, 2018","3,273.27","3,312.82","3,344.25","3,257.69","77.98K","-1.27%"
"Aug 03, 2018","3,315.28","3,366.66","3,381.34","3,315.20","70.80K","-1.65%"
"Aug 02, 2018","3,370.96","3,434.35","3,434.35","3,322.10","101.31K","-2.22%"
"Aug 01, 2018","3,447.39","3,530.03","3,543.61","3,446.78","90.35K","-2.00%"
"Jul 31, 2018","3,517.66","3,510.47","3,528.15","3,493.15","67.98K","0.07%"
"Jul 30, 2018","3,515.08","3,520.85","3,550.90","3,489.55","82.12K","-0.17%"
"Jul 27, 2018","3,521.23","3,533.77","3,545.41","3,512.70","70.18K","-0.42%"
"Jul 26, 2018","3,536.25","3,583.32","3,593.92","3,528.64","90.35K","-1.16%"
"Jul 25, 2018","3,577.75","3,589.51","3,589.98","3,566.31","96.76K","-0.11%"
"Jul 24, 2018","3,581.71","3,530.66","3,596.51","3,530.66","156.91K","1.59%"
"Jul 23, 2018","3,525.75","3,471.86","3,527.53","3,464.65","119.04K","0.94%"
"Jul 20, 2018","3,492.89","3,426.46","3,505.93","3,398.95","101.99K","1.88%"
"Jul 19, 2018","3,428.34","3,444.80","3,466.51","3,417.96","68.48K","-0.09%"
"Jul 18, 2018","3,431.32","3,456.61","3,479.26","3,430.16","66.53K","-0.52%"
"Jul 17, 2018","3,449.38","3,466.42","3,467.19","3,420.97","61.98K","-0.65%"
"Jul 16, 2018","3,472.09","3,488.97","3,506.24","3,459.73","68.28K","-0.59%"
"Jul 13, 2018","3,492.69","3,488.50","3,499.76","3,474.91","72.96K","0.33%"
"Jul 12, 2018","3,481.06","3,403.33","3,499.10","3,403.33","96.35K","2.16%"
"Jul 11, 2018","3,407.53","3,398.93","3,427.57","3,375.14","72.04K","-1.73%"
"Jul 10, 2018","3,467.52","3,464.91","3,474.14","3,437.27","69.55K","0.24%"
"Jul 09, 2018","3,459.18","3,378.91","3,459.32","3,378.91","76.60K","2.80%"
"Jul 06, 2018","3,365.12","3,347.06","3,396.25","3,295.73","86.10K","0.68%"
"Jul 05, 2018","3,342.44","3,365.55","3,398.49","3,330.71","81.59K","-0.63%"
"Jul 04, 2018","3,363.75","3,398.78","3,418.33","3,359.09","75.16K","-1.34%"
"Jul 03, 2018","3,409.28","3,410.48","3,422.04","3,319.29","95.28K","0.04%"
"Jul 02, 2018","3,407.96","3,504.46","3,506.90","3,383.50","84.35K","-2.93%"
"Jun 29, 2018","3,510.98","3,431.96","3,512.38","3,425.22","77.26K","2.55%"
"Jun 28, 2018","3,423.53","3,434.94","3,477.06","3,416.95","75.92K","-1.03%"
"Jun 27, 2018","3,459.26","3,525.13","3,537.66","3,441.78","81.49K","-2.03%"
"Jun 26, 2018","3,531.11","3,521.59","3,541.78","3,478.21","84.99K","-0.82%"
"Jun 25, 2018","3,560.48","3,625.80","3,631.03","3,559.03","79.88K","-1.34%"
"Jun 22, 2018","3,608.90","3,567.89","3,609.08","3,542.46","75.12K","0.44%"
"Jun 21, 2018","3,592.97","3,633.56","3,673.56","3,589.49","93.91K","-1.17%"
"Jun 20, 2018","3,635.44","3,602.55","3,649.34","3,578.17","86.72K","0.40%"
"Jun 19, 2018","3,621.12","3,702.67","3,712.82","3,583.02","160.71K","-3.53%"
"Jun 15, 2018","3,753.43","3,763.04","3,780.34","3,737.43","85.49K","-0.53%"
"Jun 14, 2018","3,773.37","3,774.64","3,808.16","3,759.25","68.47K","-0.40%"
"Jun 13, 2018","3,788.34","3,814.62","3,817.45","3,782.07","66.38K","-0.98%"
"Jun 12, 2018","3,825.95","3,783.19","3,830.47","3,765.26","73.21K","1.22%"
"Jun 11, 2018","3,779.98","3,770.21","3,792.55","3,756.51","68.71K","0.01%"
"Jun 08, 2018","3,779.62","3,819.45","3,819.46","3,759.27","83.34K","-1.34%"
"Jun 07, 2018","3,831.01","3,846.94","3,859.85","3,827.69","80.26K","-0.17%"
"Jun 06, 2018","3,837.35","3,839.68","3,848.33","3,830.90","73.12K","-0.21%"
"Jun 05, 2018","3,845.32","3,811.29","3,845.56","3,800.93","78.69K","0.99%"
"Jun 04, 2018","3,807.58","3,785.19","3,813.41","3,776.62","76.62K","0.98%"
"Jun 01, 2018","3,770.59","3,789.67","3,802.54","3,753.84","77.82K","-0.84%"
"May 31, 2018","3,802.38","3,749.30","3,804.79","3,742.53","92.67K","2.12%"
"May 30, 2018","3,723.37","3,755.18","3,767.89","3,722.07","87.91K","-2.12%"
"May 29, 2018","3,804.01","3,824.19","3,841.78","3,800.67","81.55K","-0.76%"
"May 28, 2018","3,833.26","3,816.26","3,846.55","3,799.32","71.52K","0.44%"
"May 25, 2018","3,816.50","3,823.74","3,841.12","3,804.13","70.84K","-0.28%"
"May 24, 2018","3,827.22","3,853.29","3,859.10","3,823.92","68.35K","-0.71%"
"May 23, 2018","3,854.58","3,898.27","3,898.27","3,854.58","83.72K","-1.32%"
"May 22, 2018","3,906.21","3,918.82","3,918.82","3,881.17","75.37K","-0.38%"
"May 21, 2018","3,921.24","3,925.54","3,937.46","3,913.60","92.64K","0.47%"
"May 18, 2018","3,903.06","3,860.16","3,903.06","3,841.90","72.61K","1.01%"
"May 17, 2018","3,864.05","3,895.49","3,899.51","3,858.85","59.03K","-0.74%"
"May 16, 2018","3,892.84","3,909.82","3,923.34","3,889.19","71.91K","-0.80%"
"May 15, 2018","3,924.10","3,920.14","3,924.34","3,892.92","76.05K","0.38%"
"May 14, 2018","3,909.29","3,886.87","3,919.30","3,886.87","81.98K","0.94%"
"May 11, 2018","3,872.84","3,902.15","3,903.34","3,871.95","73.36K","-0.52%"
"May 10, 2018","3,893.06","3,882.84","3,894.49","3,867.31","70.67K","0.55%"
"May 09, 2018","3,871.62","3,876.13","3,878.94","3,855.74","66.71K","-0.18%"
"May 08, 2018","3,878.68","3,834.61","3,892.07","3,833.73","94.22K","1.16%"
"May 07, 2018","3,834.19","3,782.54","3,834.59","3,776.03","87.29K","1.58%"
"May 04, 2018","3,774.60","3,784.32","3,801.52","3,770.94","71.55K","-0.49%"
"May 03, 2018","3,793.00","3,756.17","3,797.53","3,732.37","93.96K","0.78%"
"May 02, 2018","3,763.65","3,769.93","3,787.30","3,744.55","83.30K","0.18%"
"Apr 27, 2018","3,756.88","3,771.04","3,776.98","3,714.64","89.53K","0.04%"
"Apr 26, 2018","3,755.49","3,823.39","3,828.71","3,744.89","87.15K","-1.91%"
"Apr 25, 2018","3,828.70","3,824.59","3,838.69","3,817.03","78.17K","-0.38%"
"Apr 24, 2018","3,843.49","3,769.88","3,854.43","3,769.88","114.22K","2.05%"
"Apr 23, 2018","3,766.33","3,754.69","3,787.40","3,735.18","90.36K","0.15%"
"Apr 20, 2018","3,760.85","3,801.21","3,815.44","3,750.10","99.28K","-1.34%"
"Apr 19, 2018","3,811.84","3,774.78","3,824.03","3,767.80","99.05K","1.21%"
"Apr 18, 2018","3,766.28","3,785.31","3,789.66","3,708.11","106.68K","0.47%"
"Apr 17, 2018","3,748.64","3,812.87","3,822.63","3,745.44","90.61K","-1.58%"
"Apr 16, 2018","3,808.86","3,862.47","3,869.16","3,789.61","99.22K","-1.61%"
"Apr 13, 2018","3,871.14","3,920.74","3,929.95","3,866.19","71.54K","-0.71%"
"Apr 12, 2018","3,898.64","3,935.67","3,937.78","3,896.18","82.70K","-1.01%"
"Apr 11, 2018","3,938.34","3,934.17","3,958.71","3,924.96","111.93K","0.28%"
"Apr 10, 2018","3,927.17","3,860.72","3,927.42","3,851.80","106.17K","1.93%"
"Apr 09, 2018","3,852.93","3,851.95","3,870.67","3,827.41","84.11K","-0.05%"
"Apr 04, 2018","3,854.86","3,873.63","3,898.61","3,852.50","88.73K","-0.20%"
"Apr 03, 2018","3,862.48","3,850.15","3,878.15","3,839.93","95.14K","-0.63%"
"Apr 02, 2018","3,886.92","3,897.01","3,937.02","3,882.89","111.24K","-0.30%"
"Mar 30, 2018","3,898.50","3,893.75","3,915.35","3,879.21","97.51K","0.11%"
"Mar 29, 2018","3,894.05","3,854.59","3,913.96","3,794.26","116.63K","1.34%"
"Mar 28, 2018","3,842.72","3,865.05","3,907.28","3,835.88","101.50K","-1.80%"
"Mar 27, 2018","3,913.27","3,927.49","3,936.78","3,881.87","113.70K","0.86%"
"Mar 26, 2018","3,879.89","3,862.69","3,883.90","3,829.92","115.14K","-0.64%"
"Mar 23, 2018","3,904.94","3,896.74","3,928.51","3,834.94","180.08K","-2.87%"
"Mar 22, 2018","4,020.35","4,062.07","4,072.38","4,003.72","89.10K","-1.00%"
"Mar 21, 2018","4,061.05","4,097.02","4,110.12","4,046.24","97.61K","-0.41%"
"Mar 20, 2018","4,077.70","4,045.74","4,080.19","4,040.31","80.61K","0.08%"
"Mar 19, 2018","4,074.25","4,054.62","4,074.52","4,033.52","81.50K","0.44%"
"Mar 16, 2018","4,056.42","4,096.89","4,110.05","4,055.82","84.90K","-0.97%"
