"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 04, 2017","19,952.33","19,949.79","19,984.51","19,933.59","789.01M","-0.38%"
"Aug 03, 2017","20,029.26","20,066.00","20,070.16","19,985.40","921.11M","-0.25%"
"Aug 02, 2017","20,080.04","20,057.07","20,113.73","20,022.05","986.34M","0.47%"
"Aug 01, 2017","19,985.79","19,907.08","20,000.46","19,904.72","1.13B","0.30%"
"Jul 31, 2017","19,925.18","19,933.45","19,983.90","19,891.90","1.45B","-0.17%"
"Jul 28, 2017","19,959.84","20,048.46","20,056.16","19,926.60","1.12B","-0.60%"
"Jul 27, 2017","20,079.64","20,026.58","20,176.39","20,005.20","926.96M","0.15%"
"Jul 26, 2017","20,050.16","20,098.14","20,116.00","20,016.58","880.73M","0.48%"
"Jul 25, 2017","19,955.20","19,979.56","20,036.31","19,941.61","723.42M","-0.10%"
"Jul 24, 2017","19,975.67","19,973.67","20,002.54","19,901.88","837.92M","-0.62%"
"Jul 21, 2017","20,099.75","20,089.86","20,135.33","20,081.91","810.92M","-0.22%"
"Jul 20, 2017","20,144.59","20,046.90","20,157.11","20,032.23","833.19M","0.62%"
"Jul 19, 2017","20,020.86","19,970.78","20,032.46","19,947.26","837.01M","0.10%"
"Jul 18, 2017","19,999.91","20,074.41","20,081.29","19,943.14","963.16M","-0.59%"
"Jul 14, 2017","20,118.86","20,157.92","20,163.67","20,101.71","857.01M","0.09%"
"Jul 13, 2017","20,099.81","20,177.28","20,183.80","20,062.27","932.86M","0.01%"
"Jul 12, 2017","20,098.38","20,137.22","20,153.04","20,061.16","839.36M","-0.48%"
"Jul 11, 2017","20,195.48","20,073.86","20,200.88","20,070.67","796.97M","0.57%"
"Jul 10, 2017","20,080.98","20,070.44","20,127.76","20,023.03","883.71M","0.76%"
"Jul 07, 2017","19,929.09","19,856.65","19,979.93","19,856.65","946.99M","-0.32%"
"Jul 06, 2017","19,994.06","20,061.68","20,078.88","19,947.63","955.81M","-0.44%"
"Jul 05, 2017","20,081.63","20,015.07","20,087.01","19,888.90","974.51M","0.25%"
"Jul 04, 2017","20,032.35","20,192.27","20,197.16","19,971.53","1.03B","-0.12%"
"Jul 03, 2017","20,055.80","20,056.32","20,096.14","20,030.61","859.51M","0.11%"
