Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Jamie Romak,SK,1B,139,485,85,137,32,0,32,91,4,2,91,116,0,4,6,.282,.404,.546,.951
Keon Chang Seo,KIW,2B,135,484,79,134,28,5,5,52,24,10,91,58,5,10,5,.277,.388,.386,.774
Aaron Altherr,NCD,OF,136,482,90,134,20,7,31,108,22,3,46,149,0,6,12,.278,.355,.541,.897
Chan Ho Park,KIA,SS,141,480,63,107,16,0,3,36,15,8,36,87,12,3,0,.223,.269,.275,.544
Myung Gi Lee,NCD,OF,136,477,82,146,18,3,2,45,12,7,50,78,5,4,4,.306,.370,.369,.739
Woo Jun Sim,KTW,SS,144,476,58,112,16,3,3,51,35,11,37,98,16,4,2,.235,.282,.300,.583
Jae Il Oh,DOO,1B,127,471,62,147,32,0,16,89,2,1,61,92,0,2,0,.312,.391,.482,.873
Ji Wan Na,KIA,OF,137,468,73,136,19,1,17,92,0,0,64,114,0,6,18,.291,.393,.444,.838
Min Woo Park,NCD,2B,126,467,82,161,27,5,8,63,13,6,36,48,2,10,15,.345,.402,.475,.878
Ji Hoon Choi,SK,OF,127,466,66,120,19,5,1,27,18,6,38,80,8,3,5,.258,.313,.326,.640
Dong Hee Han,LOT,3B,135,461,62,128,22,0,17,67,0,3,57,97,5,3,5,.278,.358,.436,.794
Eui Ji Yang,NCD,C,130,461,86,151,26,1,33,124,5,2,46,47,1,6,14,.328,.407,.603,1.011
Jeong Choi,SK,3B,133,452,90,122,22,0,33,96,8,3,75,98,0,6,20,.270,.394,.538,.931
Ja Wook Koo,SAM,OF,118,446,70,137,27,2,15,78,19,5,51,91,1,4,8,.307,.388,.478,.865
Kyoung Min Hur,DOO,3B,117,437,70,145,25,1,7,58,14,6,35,28,3,7,5,.332,.382,.442,.824
Roberto Ramos,LG,1B,117,431,74,120,17,2,38,86,2,0,55,136,0,4,4,.278,.369,.592,.960
Kang Nam Yoo,LG,C,137,429,51,112,18,0,16,74,1,1,32,84,2,2,13,.261,.330,.415,.745
Jin Hyuk No,NCD,SS,132,427,70,117,22,3,20,82,0,4,49,106,3,0,5,.274,.357,.480,.837
Yong Kyu Lee,HAN,OF,120,419,60,120,14,2,1,32,17,8,59,36,2,1,6,.286,.380,.337,.716
